id,text,label,Comments
76356,A woman was convicted for illegal possession of meat.,Pʋ’a sɔ’ kpɛn’ sanriga ni’im kanɛ pʋ mɔr kaseta gbana zanlim yɛla.,
78742,Women are advised to start businesses as soon as they can.,Ba sa'al pu'ab ye ba pin'ilim kpikpiŋ saŋkabɛ ka na nyaŋ la.,
89576,"His car has been seized from the police station at the airport and he is expected to appear in the La moto court on October 6, 2022",Ba faaen o lɔr nyi laŋŋima zin'igin la bɛ alɔpir pakin ka li an ye o yi La Moto Kɔɔtin la na Sa'waar nwadig daba ayuobo daar (6) yʋʋm tusa ayi nɛ pisi na ayi (2022).,
91760,"Mr. and Mrs. Bumble, deprived of their situations, were gradually reduced to great indigence and misery and finally became paupers in that very same workhouse in which they had once lorded it over others. Mr. Bumble has been heard to say that in this reverse and degradation, he has not even spirit to be thankful for being separated from his wife.","Mr. Bumble nɛ o pʋ'a, daʋŋ kaŋa zug, kɛya ka ba lieb nɛɛm ka yʋ'ʋn lieb banɛ sɔsid zin'ikanɛ ka ba daa an zugdaan nam  tis ninsieba. Nidib wʋm ka Mr. Bumble  yɛl ye la'anɛ on lɛb nya'aŋ ka sie la, o pʋm pʋ mɔr siikanɛ na yɛl ye o pʋ'ʋsya nɛ o pʋ'a pʋ zɔ' ka bas o la.",
91697,"As a result of this, it is the Anlos began secretly providing guns and all kinds of weapons to the Ashantis for them to be able to fight their enemies","Nɛ’ɛŋa zugo, Anlo dim la da pin’ili su’ad sʋŋid Santeeb la nɛ mali nɛ zaba la’ad bɛdigʋ ka ba zabid ba dataas la.",
91494,"To ensure that young people acquire proper guidance and understanding of customs and values, it is crucial to incorporate teachings on these principles in schools, public spaces, media platforms such as television and radio, as well as within households.","Ti ya’a bɔɔd ye dasam nɛ pʋ’asada paam bɛllim sʋŋ ka gban’e zi’elis nɛ tʋʋmsʋma, asɛɛ ka ti nɔk pa’al bama buudi paas sakuya ni, nidib la’asʋg zin’ig, labaya zɔna nwɛnɛ tiivinam nɛ walɛsnam ni, la’am paas nɛ yaan.",
76429,Am waiting for blood culture test results from the laboratory.,Mam gʋrnɛ ziim nwɔɔlʋg malima la lɛbisʋg na yit ziim dɔɔgin la.,
76977,Money given to people by politicians should instead be used to improve community services.,Ligidbanɛ ka pɔlitis nwɛ'ɛdib mɔri tisid nidib la lɛɛ nɔkim tʋm temmaalʋg tʋʋma.,
91435,"It helps to prevent fat from building up in your muscles causing inflammation or any other disease, moreover, it also helps in slow growth and beauty.","Li sʋŋidnɛ gu'ud kpaam ka li kʋ nyaŋi mɛ' fʋ giinla n ta'asid gu'ur bɛɛ ban' sieba, ya'asɛ, li mɛ lɛm sʋŋidnɛ a pʋ biid bɛɛ vɛnlim.",
77453,Some of the seeds provided by operation wealth creation failed to grow.,Zʋʋd bielim banɛ ka arezak paamʋg da tis la sieba zan'asnɛ nɔbʋgir.,
90736,Minor developmental projects must be suspended from the 2023 budget.,Temmaalʋg tʋʋm bibis nar ye ba yisi bas 2023 yʋʋm ligid-diisim suor la ni.,
