id,text,label,Comments
100005,Takoradi High Court presided over by Justice Dr. Richmond Osei Hwere has dropped the charges.,Takoradi Saneyeli Wulu ni  Kojolɔ Dr. Ricmond Osei Hwere kwɛɔ nɔ lɛ eŋmɛɛ sane lɛ he.,
59229,I want to rear goats and cattle on my farm.,Miisumɔ ni matsɔse too kpakpoi kɛ tsinai yɛ mi ŋmɔ lɛ mli.,
60748,"Osei Tutu permitted newly conquered territories that joined the confederation to retain their own customs and chiefs, who were given seats on the Ashanti state council.",Osei Tutu ŋmɛ maji ehee ni ayɛ amɛnɔ kunim gbɛ koni amɛfata ekomefeemɔ koni amɛnyɛ ni amɛ na amɛ diɛŋtsɛ amɛ maŋtsɛmɛi ni aha amɛ sɛi yɛ Ashanti onukpai kui ahiɛ.,
58268,"The children were students in the mission schools who split their time between general education, religious studies, and unpaid labor.","Nikaselɔi ji gbekɛbii niyɔɔ sɔlemɔɔ skul amli ni aja amɛ be mli kɛha nikasemɔ wulu, sɔlemɔ nikasemɔ kɛ nikasemɔ ni shika bɛ mli.",
58856,The future of the girl child is vital to the nation.,Gbekɛ yoo lɛ wɔsɛɛ be he hiaa maŋ lɛ.,
55890,There are high rates of infections in a polygamous family.,Tsɛŋemɔ helai pii yɛ wekui ni mo ko kɛ mɛi pii ehi shi lɛ mli,
59263,If cracks appear in a building that shows poor construction.,"Kɛ́ fɔji ba tsũ ko mli lɛ, no tsɔɔ akɛ aamamɔ tsũ ni ehiii.",
60452,My father was angry at my stepmother for mistreating me.,Mi papa miifu eŋa kroko ni jeee emami yɛ nibii fɔji ni akɛ feɔ mi ahewɔ.,
59693,It's a good thing to try all kinds of business to find which one is good for you.,Eji nɔ ni hi akɛ aaabɔ mɔdɛŋ ni ana nitsumɔ mli nibii srɔtoi fɛɛ ni hi kɛha bo.,
104545,Then you are a bad citizen.,"Be lɛ, maŋnyo gbonyo ji bo.",
61765,"Because of poverty, parents are no longer providing the best for their children.","Ohia hewͻ lɛ, fͻlͻi nyɛɛɛ ni amɛhe nibii jogbaŋŋ kɛkwɛ amɛbii.",
58775,The fake news is spreading about coronavirus .,Kanei lɛ gbɛɛi komɛi.,
55703,The trial of the opposition leader has been postponed to next month.,Atsi shiteekɛwolɔ nukpa lɛ sane lɛ awo nyɔŋ ni baa lɛ,
