id,text,label,Unnamed: 3
75273,The district carried out a massive community sensitization to reduce gender-based violence and enhance agricultural production.,Mansin no yɛɛ nkyerɛkyerɛ mapa a ɔbɔboa atsew asetsee a mbaa na mbanyin fa mu no do na aboa ma ekuadwuma etu mpɔn,
94358,Experts say that quail contain most of a nutrient called potassium.,Abenfo kadɛ Quail anoma no wɔ edziban dur a wɔfrɛ no Potassium.,Enyimdzefo ka dɛ kwadu kitsa ahoɔdzendur bi a wɔfrɛ no potaseɔm.
94425,"The Secretary-General of the Foreigners and Immigration Department, Padi Tetteh, has welcomed the committee.","Nsɛnkyerɛwnyi panyin ma ahɔho na atubrafo akrakye, Owura Padi Tetteh, ama boayikuw no akwaaba.",good
74827,Roads should be constructed in areas which are not linked with people's land.,"Worutwa kwan a, otwar dɛ wotwa to bea a ɔnnkɛka nkorɔfo nsaase.",
74477,Money given to people by politicians should instead be used to improve community services.,Ɔwɔ dɛ wɔdze sika a amanyɛfo dze ma nyimpa no dzi dwuma mbom dze ma apaamu hɔ edwuma ahorow tu mpon.,
73878,Administrators are in charge of making certain decisions.,Hɔn a wodzi bano wɔ ndwuma mu no na wobesi gyinae wɔ nhyehyɛɛ bi ho.,
74361,"Many of the student in Kwame Nkrumah University of Science and Technology enrolled on loan scheme , therefore they are expected to pay back the money after their education","Osuanyi a ɔwɔ Kwame Nkrumah Esuapɔn a ɔhwɛ Nyansahu na Mfirdwuma do no mu pii dze hɔn dzin hyɛɛ boseabɔ nhyehyɛɛ mu, entsi wɔhwɛ kwan dɛ wɔbotua sika no wɔ hɔn nwomasua ekyi",
76240,Women and young adults are advised to take on family planning methods.,Woetu mbaa mpanyimfo na mbabaawa fo dɛ wɔmfa ebusua nhyehyɛɛ dwumadzi ndzi dwuma.,
76185,We vote for officials and they represent our concerns and ideas in the government.,Yɛtow amba ma mpanyimfo dɛ wɔnkɛhyɛ hɛn ananmu na wɔmfa hɛn haw na hɛn adwenkyerɛ nkɔ aban mu.,
75372,The engineers have analyzed the impact of the bridge on the environment.,Odwumayɛnyi no hwɛɛ hun nsunsuando a ɔdzɛw no benya no wɔ atsenae hɔ,
76236,"Without caution, anything can become a potential threat to one's life.","Sɛ yɛannyɛ ahwɛyie a, biribiara botum ayɛ kɔkɔbɔ ama nyimpa n'abrabɔ.",
74000,"Be careful, thieves carry dangerous weapons along with them.","Yɛ ahwɛyie, ewifo dze akodze a ɔyɛ hu ka hɔnho ba.",
