id,text,label,Comments
44224,"Ampa ara, bosome Ɔbenem da a ɛtɔ so nsia wɔ afe 1957 mu no, Gold Coast nyaa ne fawohodie.","Indeed, the sixth day of the month of March 1957 was independent of the Gold Coast.",
43602,Wobɛtumi nso de aduro a wɔayɛ sɛ yɛmfa nhohoro yɛn anom no bi ahohoro w'anom na abɔ wo ban afiri kaka ne nyarewa afoforɔ ho.,You can also rinse your mouth with some of the mouthwashes that are designed to protect you from toothaches and other infections.,
41752,"Berɛ a wɔretoto Owura Charles Abani ano wɔ Joy T.V so no, ɔka kaa ho sɛ, ne nkurɔfoɔ no aboaboa wɔn ho sɛ wɔbɛboa ama Ghana mpuntuo afa ne ntoma pa afura.","During an interview with Mr. Charles Abani on Joy TV, he expressed his people's readiness and willingness to contribute to Ghana's development for the betterment of the country.",
47022,"Yei nti, ama nnipa pii ani abɛgye nwa ho pa ara.",This has led to a growing interest in drinking.,
42093,"Deɛ ɛtwa toɔ no, sɛ wotaa di aduaba yi a, ɛbɛboa ama wo nipadua no atumi ako atia yareɛ koankorɔ binom na asane nso ama nipadua no fa a ɛko tia nyarewa no atumi ayɛ adwuma yie.","Finally, regular consumption of this fruit will help your body fight off certain diseases and also improve the immune system.",
45692,"Sԑ wopԑ sԑ wobᴐ aniwa no ho ban firi mmoawa ne nyarewa nketewa binom ho a, mfa wo nsa fi nkeka w’aniwa, ԑmfa nneԑma a wᴐde siesie wᴐn anim anaa wᴐn aninntᴐnnwi a ayԑ fi nka w’ani.","In order to protect your eyes from insects and other infections, it is advisable not touch your eyes with your hands, makeups or dirty artificial eyelashes.",
44783,"Afei wowɔ obi a wafa monaatoɔ ho ateetee mu a, twe bεn no na wone no mmɔ nkɔmmɔ pii, hyε no nkuran, na ma n’ani nnye.","Then if you have someone who has been raped, draw close to them and talk to them a lot, encourage them, and make them happy.",
46117,Wɔgyinaa mfeɛ 2010 nnipa dodoɔ a wɔkan wɔn wɔ Ghana no so na wɔyɛɛ saa nhwehwɛmu yi.,the research was based on the 2010 population census conducted in Ghana.,
45545,"Ɛno nti, sɛ kalsium a ɛwɔ wo nipadua mu no nnɔɔso a, ɛbɛtumi ama woanya nnompe mu nyarewa anaa kaka.","This means that, if the calcium in the body is not enough, it can lead to joint pains and tooth decay.",
45854,"Nokorɛdie yɛ adeɛ baako a ɛnsɛ sɛ ɔwarefoɔ biara toto no ase koraa, na ɛka nneɛma a ɛma awareɛ tu mpɔn ho no.","truthfulness is one thing that married couples should not joke with it, and it is one of the things that helps marriages to grow.",
44745,"Ɛduru nsutɔ berɛ a, ɛho hia pa ara sɛ yɛhwɛ yɛn ho yie na yɛboaboa yɛn ho nso na yɛamfa yɛne aforoɔ nkwa anto asiane mu.","When it comes to the rainy season, it is very important to take care of ourselves and prepare ourselves so that we do not endanger our lives and those of others.",
42524,"Enti na ɔde sika na ɛyɛ ne ho adeɛ biara; sɛ adwinneɛ, anaa biribiara a ɛfa ne ho ne ahennie no ho, sɛ ɛyɛ dua mpo a ɔma wɔde sika kɔkɔɔ hem ho.","so he use money in everything; if artwork, or something which is about is kingdom, even if it is a tree he weave it with gold.e",
42016,"Bio, sɛ obi di kwadu a, ɛma nipadua no nya ahoɔden a ɛdi mu pa ara yɛ adwuma.","Furthermore, eating quail provides the body with the most efficient energy to function.",
44120,"Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.","Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.",
45465,Sԑ ԑba saa a ԑntumi mma abᴐfra no ntena awodeԑ no mu.,This does not allow the child to stay in the womb.,
43895,"Nsunsuansoᴐ a nnuatwa de ba yε ahuhuro, ewiem nsakyeraeε a εnnyina, nsuyiri ne deε εkeka ho pii.","the effects of deforestation are hot feeling, unstable weather changes, floods and much more.",
43177,"Nsuo a ɛwɔ mmarima mu no dɔɔso kyɛn deɛ ɛwɔ mmaa mu, na nsuo bɛyɛ ɔha mu nkyɛmu aduowɔtwe (80%) na ɛka bom yɛ abɔfra.","The amount of water in males exceed that of females, and about eighty percent (80%) of water makes up a baby.",
41235,Wonim sɛ adɔkotafoɔ hunu wo haw no ntɛm a wɔbɛtumi adi ho dwuma ntɛm atu aseɛ?,Did you know that doctors see your problem sooner and can treat it faster?,
41373,"Yɛka kosua wɔ bragorɔ mu a, nnipa binom adwene yɛ wɔn sɛ ɛyɛ kosua a yɛanoa ayi ne hono no nyinaa kɛkɛ nanso ɛnte saa.","When we talk about chicken in brag, some people think it’s just chicken that we’ve cooked all the time but it’s not.",
43668,"Amammuo no kᴐᴐ awieeε berε a wᴐn hene, Ↄhene Frederick Willian I tᴐnoo wᴐn agyapadeε maa Dutch Aban.","The government came to an end when their king, King Frederick Willian I sold their properties to the Dutch government.",
41993,"3.Wɔn a wɔwɔ yadeɛ yi binom nso wɔ hɔ a wɔde sekan ka wɔn, anaa wɔde rɔba hyɛ wɔn barima no mu, na ɛno aboa ama dwonsɔ no atumi abɛsene.","Some people with this disease also have a knife, or a rubber band inserted into their penis, which has helped the bladder to flow.",
45476,"Ԑsiane sԑ woadi kan asԑe bi pԑn no nti, sԑ ᴐba tᴐ yafunu no mu a, awodeԑ no nya atenka bi sԑ ᴐbԑpᴐn apᴐfra no.","This is because, since you have already caused abortion, whenever there is a child in the womb, the womb may not be in the right state to keep the child.",
44345,Ɛno nko ara de anigyeɛ kɛseɛ bi wura wɔn mu.,That alone instills in them a great deal of joy.,
42019,2.Ankaa anaa akutuo yɛ aduaba a ɛdɔɔso wɔ ɔman yi mu pa ara.,2.The coconut or coconut is the most abundant fruit in this country.,
41637,"Deɛ wɔyɛ ne sɛ, wɔn nyinaa kɔpɛ baabi hyɛ ma ɔbaakofoɔ bɛkyini hwehwɛ wɔn.","This is how it is played, all of them run to hide and one will look for them",
41672,"Sɛ saa nhyehyɛeɛ yi yɛ yie a, wɔn ani da kwan sɛ ɛbɛma fangoo boɔ a ɛregye nsamu wɔ ɔman yi mu no agyina kakra.","This arrangement, if successful is expected to put some stability to the escalation of the fuel prices in the country",
